,state_code,Applicant_Hispanic_or_Latino,Applicant_Not_Hispanic_or_Latino,Co-Applicant_Hispanic_or_Latino,Co-Applicant_Not_Hispanic_or_Latino,No_co-applicant_(Ethnicity),Applicant_Male,Applicant_Female,Co-Applicant_Male,Co-Applicant_Female,No_Co-applicant_(Gender),Conventional,FHA_Insured,VA-guaranteed,FSA/RHS,Failed_to_Qualify,Qualified,Co-Applicant_American_Indian_or_Alaska_Native,Co-Applicant_Asian,Co-Applicant_Black_or_African_American,Co-Applicant_Native_Hawaiian_or_Other_Pacific_Islander,Co-Applicant_White,No_Co-applicant_(Race),Applicant_American_Indian_or_Alaska_Native,Applicant_Asian,Applicant_Black_or_African_American,Applicant_Native_Hawaiian_or_Other_Pacific_Islander,Applicant_White,Average_Loan_000s,Average_Income_000s,Total_Loans,State,Name
42,48,288893,1016044,120954,488738,695245,947126,357811,122487,487205,695245,823927,318643,141569,20798,143412,1161525,3611,51840,34519,2639,517083,695245,8929,120590,102918,5062,1067438,222,118,1304937,48,Texas
43,49,19401,199370,7434,98477,112860,168294,50477,16208,89703,112860,140572,54650,14840,8709,18699,200072,458,2957,496,769,101231,112860,1212,6200,1684,1791,207884,235,92,218771,49,Utah
44,50,430,24246,236,12998,11442,15856,8820,4078,9156,11442,18741,2424,1570,1941,2789,21887,41,299,75,26,12793,11442,107,484,169,40,23876,205,115,24676,50,Vermont
45,51,29734,376703,11732,163446,231259,282636,123801,37310,137868,231259,230633,83855,76322,15627,36983,369454,674,17265,12897,1079,143263,231259,1971,38201,51399,1773,313093,287,109,406437,51,Virginia
46,53,26165,384620,12825,202263,195697,296118,114667,43138,171950,195697,281424,70392,48615,10354,38136,372649,1809,24327,3841,2274,182837,195697,4513,50171,11137,3823,341141,302,111,410785,53,Washington
47,54,878,60367,374,24748,36123,43940,17305,4691,20431,36123,38049,9692,5805,7699,8780,52465,69,310,352,32,24359,36123,181,701,1528,110,58725,153,86,61245,54,West Virginia
48,55,10012,272093,4492,147504,130109,197284,84821,33302,118694,130109,219329,35416,15995,11365,27951,254154,579,4016,1845,240,145316,130109,1509,7365,6697,429,266105,173,94,282105,55,Wisconsin
49,56,1528,30055,643,14263,16677,23733,7850,2356,12550,16677,17692,6042,4428,3421,2633,28950,67,154,77,37,14571,16677,182,257,282,77,30785,210,94,31583,56,Wyoming
50,72,52484,1302,21641,780,31365,33793,19993,3896,18525,31365,17507,23009,3273,9997,13013,40773,63,93,837,31,21397,31365,250,141,2473,52,50870,133,63,53786,72,Puerto Rico
51,1549,1623612,13135041,652700,5930185,8175768,10321923,4436730,1372768,5210117,8175768,9629482,3237350,1341745,550076,1613719,13144934,33426,473678,261336,31911,5782534,8175768,97254,1046216,1054136,63244,12497803,11781,5393,14758653,1549,National
